data,ch1
2024-07-14T19:22:01+00:00,36.86
2024-07-14T19:23:01+00:00,37.50
2024-07-14T19:24:01+00:00,37.24
2024-07-14T19:25:01+00:00,36.55
2024-07-14T19:26:01+00:00,38.04
2024-07-14T19:27:01+00:00,37.65
2024-07-14T19:28:01+00:00,37.51
2024-07-14T19:29:01+00:00,37.69
2024-07-14T19:30:01+00:00,37.11
2024-07-14T19:31:01+00:00,37.61
2024-07-14T19:32:01+00:00,37.15
2024-07-14T19:33:01+00:00,37.43
2024-07-14T19:34:01+00:00,37.97
2024-07-14T19:35:01+00:00,36.68
2024-07-14T19:36:01+00:00,37.51
2024-07-14T19:37:01+00:00,36.62
2024-07-14T19:38:01+00:00,37.56
2024-07-14T19:39:01+00:00,36.94
2024-07-14T19:40:01+00:00,37.94
2024-07-14T19:41:01+00:00,37.31
2024-07-14T19:42:01+00:00,37.20
2024-07-14T19:43:01+00:00,36.95
2024-07-14T19:44:01+00:00,37.09
2024-07-14T19:45:01+00:00,37.20
2024-07-14T19:46:01+00:00,37.15
2024-07-14T19:47:01+00:00,37.56
2024-07-14T19:48:01+00:00,36.42
2024-07-14T19:49:01+00:00,37.57
2024-07-14T19:50:01+00:00,37.06
2024-07-14T19:51:01+00:00,37.70
2024-07-14T19:52:01+00:00,37.61
2024-07-14T19:53:01+00:00,37.60
2024-07-14T19:54:01+00:00,37.12
2024-07-14T19:55:01+00:00,37.05
2024-07-14T19:56:01+00:00,37.46
2024-07-14T19:57:01+00:00,37.76
2024-07-14T19:58:01+00:00,37.03
2024-07-14T19:59:01+00:00,37.73
2024-07-14T20:00:01+00:00,37.03
2024-07-14T20:01:01+00:00,37.22
2024-07-14T20:02:01+00:00,37.17
2024-07-14T20:03:01+00:00,37.88
2024-07-14T20:04:01+00:00,38.12
2024-07-14T20:05:01+00:00,36.97
2024-07-14T20:06:01+00:00,36.80
2024-07-14T20:07:01+00:00,37.80
2024-07-14T20:08:01+00:00,37.45
2024-07-14T20:09:01+00:00,37.74
2024-07-14T20:10:01+00:00,36.54
2024-07-14T20:11:01+00:00,37.37
2024-07-14T20:12:01+00:00,37.51
2024-07-14T20:13:01+00:00,36.97
2024-07-14T20:14:01+00:00,37.10
2024-07-14T20:15:01+00:00,36.88
2024-07-14T20:16:01+00:00,37.45
2024-07-14T20:17:01+00:00,37.22
2024-07-14T20:18:01+00:00,36.55
2024-07-14T20:19:01+00:00,37.37
2024-07-14T20:20:01+00:00,37.86
2024-07-14T20:21:01+00:00,37.76
2024-07-14T20:22:01+00:00,37.47
2024-07-14T20:23:01+00:00,37.03
2024-07-14T20:24:01+00:00,37.58
2024-07-14T20:25:01+00:00,36.99
2024-07-14T20:26:01+00:00,38.12
2024-07-14T20:27:01+00:00,38.49
2024-07-14T20:28:01+00:00,38.14
2024-07-14T20:29:01+00:00,38.06
2024-07-14T20:30:01+00:00,37.90
2024-07-14T20:31:01+00:00,37.68
2024-07-14T20:32:01+00:00,37.74
2024-07-14T20:33:01+00:00,37.30
2024-07-14T20:34:01+00:00,37.08
2024-07-14T20:35:01+00:00,37.13
2024-07-14T20:36:01+00:00,37.16
2024-07-14T20:37:01+00:00,37.18
2024-07-14T20:38:01+00:00,37.81
2024-07-14T20:39:01+00:00,37.68
2024-07-14T20:40:01+00:00,38.72
2024-07-14T20:41:01+00:00,38.01
2024-07-14T20:42:01+00:00,37.54
2024-07-14T20:43:01+00:00,37.20
2024-07-14T20:44:01+00:00,37.19
2024-07-14T20:45:01+00:00,37.02
2024-07-14T20:46:01+00:00,37.28
2024-07-14T20:47:01+00:00,37.02
2024-07-14T20:48:01+00:00,37.40
2024-07-14T20:49:01+00:00,37.85
2024-07-14T20:50:01+00:00,37.66
2024-07-14T20:51:01+00:00,37.83
