data,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16,ch17
2024-08-25 00:00:01+00:00,-50.11,-61.23,-60.84,-55.26,-63.49,-44.05,-49.99,-59.26,-52.19,-43.83,-51.85,-48.94,-54.86,-41.24,-46.23,-37.7,-51.71
2024-08-25 00:01:01+00:00,-50.24,-64.38,-63.58,-55.25,-64.92,-44.22,-49.94,-60.17,-51.59,-42.39,-52.23,-49.21,-55.65,-41.92,-46.57,-37.5,-52.4
2024-08-25 00:02:01+00:00,-49.21,-60.98,-61.92,-54.59,-63.46,-44.2,-50.34,-58.9,-50.0,-41.9,-51.83,-48.87,-55.5,-42.44,-47.02,-37.66,-52.25
2024-08-25 00:03:01+00:00,-50.02,-60.45,-63.1,-54.7,-62.81,-44.4,-50.18,-58.97,-50.18,-42.28,-52.0,-49.42,-54.85,-43.57,-46.77,-38.46,-51.68
2024-08-25 00:04:01+00:00,-50.1,-61.95,-63.51,-55.39,-64.03,-44.21,-49.87,-59.12,-50.16,-43.48,-52.37,-49.53,-55.12,-43.9,-47.06,-39.13,-51.81
2024-08-25 00:05:01+00:00,-49.8,-60.75,-63.24,-54.97,-63.34,-44.14,-49.4,-58.55,-50.04,-44.54,-52.37,-49.76,-55.26,-43.82,-47.32,-39.01,-57.34
2024-08-25 00:06:01+00:00,-49.97,-60.27,-62.5,-54.61,-63.85,-44.01,-49.23,-60.36,-50.03,-45.49,-52.25,-49.69,-55.12,-43.51,-47.04,-39.14,-51.71
2024-08-25 00:07:01+00:00,-49.87,-60.79,-62.93,-54.99,-63.45,-43.89,-49.01,-60.84,-50.25,-45.6,-52.24,-49.64,-55.65,-43.39,-46.32,-38.67,-51.82
2024-08-25 00:08:01+00:00,-49.98,-61.27,-63.79,-55.56,-63.82,-44.14,-49.17,-59.62,-50.22,-45.05,-52.26,-49.51,-56.46,-42.94,-46.78,-38.1,-52.93
2024-08-25 00:09:01+00:00,-50.21,-60.98,-63.21,-55.53,-63.94,-44.06,-49.34,-61.2,-50.2,-45.51,-51.95,-49.47,-56.93,-42.68,-46.85,-37.75,-52.89
